locus_tag	ftype	length_bp	gene	EC_number	COG	product
AHECGBEH_00062	gene	141				
AHECGBEH_00063	CDS	138				hypothetical protein
AHECGBEH_00063	gene	138				
AHECGBEH_00064	CDS	1833	phzH			phenazine-modifying protein
AHECGBEH_00064	gene	1833	phzH			
AHECGBEH_00065	CDS	429				hypothetical protein
AHECGBEH_00065	gene	429				
AHECGBEH_00066	CDS	549				RNA 2'-phosphotransferase-like protein
AHECGBEH_00066	gene	549				
AHECGBEH_00067	CDS	507				hypothetical protein
AHECGBEH_00067	gene	507				
AHECGBEH_00068	CDS	921				transcriptional regulator
AHECGBEH_00068	gene	921				
AHECGBEH_00069	CDS	888				hypothetical protein
AHECGBEH_00069	gene	888				
AHECGBEH_00070	CDS	705				hypothetical protein
AHECGBEH_00070	gene	705				
AHECGBEH_00071	CDS	426	osmC			osmotically inducible protein OsmC
AHECGBEH_00071	gene	426	osmC			
AHECGBEH_00072	CDS	234				hypothetical protein
AHECGBEH_00072	gene	234				
AHECGBEH_00073	CDS	438				hypothetical protein
AHECGBEH_00073	gene	438				
AHECGBEH_00074	CDS	417				hypothetical protein
AHECGBEH_00074	gene	417				
AHECGBEH_00075	CDS	1128				hypothetical protein
AHECGBEH_00075	gene	1128				
AHECGBEH_00076	CDS	984				hypothetical protein
AHECGBEH_00076	gene	984				
AHECGBEH_00077	CDS	666				5'-nucleotidase
AHECGBEH_00077	gene	666				
AHECGBEH_00078	CDS	543	yrdA_1		COG0663	Protein YrdA
AHECGBEH_00078	gene	543	yrdA_1			
AHECGBEH_00079	CDS	2046	prlC			oligopeptidase A
AHECGBEH_00079	gene	2046	prlC			
AHECGBEH_00080	CDS	276				hypothetical protein
AHECGBEH_00080	gene	276				
AHECGBEH_00081	CDS	1059				hypothetical protein
AHECGBEH_00081	gene	1059				
AHECGBEH_00082	CDS	915				hypothetical protein
AHECGBEH_00082	gene	915				
AHECGBEH_00083	CDS	1713				hypothetical protein
AHECGBEH_00083	gene	1713				
AHECGBEH_00084	CDS	1200				hypothetical protein
AHECGBEH_00084	gene	1200				
AHECGBEH_00085	CDS	720				ABC transporter ATP-binding protein
AHECGBEH_00085	gene	720				
AHECGBEH_00086	CDS	1893	ppkA			serine/threonine protein kinase PpkA
AHECGBEH_00086	gene	1893	ppkA			
AHECGBEH_00087	CDS	729	pppA			serine/threonine phosphatase
AHECGBEH_00087	gene	729	pppA			
AHECGBEH_00088	CDS	681				hypothetical protein
AHECGBEH_00088	gene	681				
AHECGBEH_00089	CDS	3531	icmF1_1			type VI secretion protein IcmF
AHECGBEH_00089	gene	3531	icmF1_1			
AHECGBEH_00090	CDS	1350				hypothetical protein
AHECGBEH_00090	gene	1350				
AHECGBEH_00091	CDS	1335				hypothetical protein
AHECGBEH_00091	gene	1335				
AHECGBEH_00092	CDS	465				hypothetical protein
AHECGBEH_00092	gene	465				
AHECGBEH_00093	CDS	1506	fha1			Fha domain-containing protein
AHECGBEH_00093	gene	1506	fha1			
AHECGBEH_00094	CDS	1035				hypothetical protein
AHECGBEH_00094	gene	1035				
AHECGBEH_00095	CDS	519				hypothetical protein
AHECGBEH_00095	gene	519				
AHECGBEH_00096	CDS	1497				uricase
AHECGBEH_00096	gene	1497				
AHECGBEH_00097	CDS	489	hcp1_1			protein secretion apparatus assembly protein
AHECGBEH_00097	gene	489	hcp1_1			
AHECGBEH_00098	CDS	786				hypothetical protein
AHECGBEH_00098	gene	786				
AHECGBEH_00099	CDS	510				hypothetical protein
AHECGBEH_00099	gene	510				
AHECGBEH_00100	CDS	1860				hypothetical protein
AHECGBEH_00100	gene	1860				
AHECGBEH_00101	CDS	1047				hypothetical protein
AHECGBEH_00101	gene	1047				
AHECGBEH_00102	CDS	2709	clpV1			secretion protein ClpV1
AHECGBEH_00102	gene	2709	clpV1			
AHECGBEH_00103	CDS	1941	vgrG1_1			type VI secretion system protein VgrG
AHECGBEH_00103	gene	1941	vgrG1_1			
AHECGBEH_00104	CDS	285				hypothetical protein
AHECGBEH_00104	gene	285				
AHECGBEH_00105	CDS	1293				hypothetical protein
AHECGBEH_00105	gene	1293				
AHECGBEH_00106	CDS	435				hypothetical protein
AHECGBEH_00106	gene	435				
AHECGBEH_00107	CDS	2226				hypothetical protein
AHECGBEH_00107	gene	2226				
AHECGBEH_00108	CDS	450				hypothetical protein
AHECGBEH_00108	gene	450				
AHECGBEH_00109	CDS	1113				hypothetical protein
AHECGBEH_00109	gene	1113				
AHECGBEH_00110	CDS	1038		2.3.1.41		3-oxoacyl-ACP synthase
AHECGBEH_00110	gene	1038				
AHECGBEH_00111	CDS	948				hypothetical protein
AHECGBEH_00111	gene	948				
AHECGBEH_00112	CDS	915				hypothetical protein
AHECGBEH_00112	gene	915				
AHECGBEH_00113	CDS	1233				hypothetical protein
AHECGBEH_00113	gene	1233				
AHECGBEH_00114	CDS	729				carbonic anhydrase
AHECGBEH_00114	gene	729				
AHECGBEH_00115	CDS	1572				sulfate transporter
AHECGBEH_00115	gene	1572				
AHECGBEH_00116	CDS	639				hypothetical protein
AHECGBEH_00116	gene	639				
AHECGBEH_00117	CDS	1101	coxB			cytochrome C oxidase subunit II
AHECGBEH_00117	gene	1101	coxB			
AHECGBEH_00118	CDS	1593	coxA			cytochrome C oxidase subunit I
AHECGBEH_00118	gene	1593	coxA			
AHECGBEH_00119	CDS	555				cytochrome C oxidase assembly protein
AHECGBEH_00119	gene	555				
AHECGBEH_00120	CDS	888	coIII			cytochrome C oxidase subunit III
AHECGBEH_00120	gene	888	coIII			
AHECGBEH_00121	CDS	210				hypothetical protein
AHECGBEH_00121	gene	210				
AHECGBEH_00122	CDS	795				hypothetical protein
AHECGBEH_00122	gene	795				
AHECGBEH_00123	CDS	579				hypothetical protein
AHECGBEH_00123	gene	579				
AHECGBEH_00124	CDS	1074	ctaA	1.3.-.-		Heme A synthase
AHECGBEH_00124	gene	1074	ctaA			
AHECGBEH_00125	CDS	915		2.5.1.-		protoheme IX farnesyltransferase
AHECGBEH_00125	gene	915				
AHECGBEH_00126	CDS	636	senC			cytochrome c oxidase assembly protein SenC
AHECGBEH_00126	gene	636	senC			
AHECGBEH_00127	CDS	453				hypothetical protein
AHECGBEH_00127	gene	453				
AHECGBEH_00128	CDS	474			COG1733	putative HTH-type transcriptional regulator
AHECGBEH_00128	gene	474				
AHECGBEH_00129	CDS	729				short-chain dehydrogenase
AHECGBEH_00129	gene	729				
AHECGBEH_00130	CDS	588	nsaD	5.99.1.4		2-hydroxychromene-2-carboxylate isomerase
AHECGBEH_00130	gene	588	nsaD			
AHECGBEH_00131	CDS	1335				C4-dicarboxylate transporter DctA
AHECGBEH_00131	gene	1335				
AHECGBEH_00132	CDS	687				transcriptional regulator
AHECGBEH_00132	gene	687				
AHECGBEH_00133	CDS	735				transcriptional regulator
AHECGBEH_00133	gene	735				
AHECGBEH_00134	CDS	411				hypothetical protein
AHECGBEH_00134	gene	411				
AHECGBEH_00135	CDS	909				transcriptional regulator
AHECGBEH_00135	gene	909				
AHECGBEH_00136	CDS	282				hypothetical protein
AHECGBEH_00136	gene	282				
AHECGBEH_00137	CDS	228				hypothetical protein
AHECGBEH_00137	gene	228				
AHECGBEH_00138	CDS	621				hypothetical protein
AHECGBEH_00138	gene	621				
AHECGBEH_00139	CDS	501				hypothetical protein
AHECGBEH_00139	gene	501				
AHECGBEH_00140	CDS	342				hypothetical protein
AHECGBEH_00140	gene	342				
AHECGBEH_00141	CDS	1428	gabP			gamma-aminobutyrate permease
AHECGBEH_00141	gene	1428	gabP			
AHECGBEH_00142	CDS	1494				3-oxopropanoate dehydrogenase
AHECGBEH_00142	gene	1494				
AHECGBEH_00143	CDS	288				beta-alanine degradation protein BauB
AHECGBEH_00143	gene	288				
AHECGBEH_00144	CDS	1347		2.6.1.18		beta alanine--pyruvate transaminase
AHECGBEH_00144	gene	1347				
AHECGBEH_00145	CDS	918				HTH-type transcriptional activator BauR
AHECGBEH_00145	gene	918				
AHECGBEH_00146	CDS	1299				guanine deaminase
AHECGBEH_00146	gene	1299				
AHECGBEH_00147	CDS	885				hypothetical protein
AHECGBEH_00147	gene	885				
AHECGBEH_00148	CDS	1572				ABC transporter ATP-binding protein
AHECGBEH_00148	gene	1572				
AHECGBEH_00149	CDS	1098				ABC transporter permease
AHECGBEH_00149	gene	1098				
AHECGBEH_00150	CDS	927				ABC transporter permease
AHECGBEH_00150	gene	927				
AHECGBEH_00151	CDS	564	ahpC			alkyl hydroperoxide reductase
AHECGBEH_00151	gene	564	ahpC			
AHECGBEH_00152	CDS	1566	ahpF			alkyl hydroperoxide reductase
AHECGBEH_00152	gene	1566	ahpF			
AHECGBEH_00153	CDS	1074	ppk2	2.7.4.1	COG2326	Polyphosphate:ADP/GDP phosphotransferase
AHECGBEH_00153	gene	1074	ppk2			
AHECGBEH_00154	CDS	1350		3.5.4.43		8-oxoguanine deaminase
AHECGBEH_00154	gene	1350				
AHECGBEH_00155	CDS	1053	nuh			nonspecific ribonucleoside hydrolase
AHECGBEH_00155	gene	1053	nuh			
AHECGBEH_00156	CDS	627				hypothetical protein
AHECGBEH_00156	gene	627				
AHECGBEH_00157	CDS	516				hypothetical protein
AHECGBEH_00157	gene	516				
AHECGBEH_00158	CDS	1098				Purine-binding protein
AHECGBEH_00158	gene	1098				
AHECGBEH_00159	CDS	963				oxidoreductase
AHECGBEH_00159	gene	963				
AHECGBEH_00160	CDS	951		3.5.4.4		adenosine deaminase
AHECGBEH_00160	gene	951				
AHECGBEH_00161	CDS	588				ECF subfamily sigma-70 factor
AHECGBEH_00161	gene	588				
AHECGBEH_00162	CDS	996				transmembrane sensor
AHECGBEH_00162	gene	996				
AHECGBEH_00163	CDS	2388				TonB-dependent receptor
AHECGBEH_00163	gene	2388				
AHECGBEH_00164	CDS	918	pcaQ			transcriptional regulator PcaQ
AHECGBEH_00164	gene	918	pcaQ			
AHECGBEH_00165	CDS	720	pcaH			protocatechuate 3,4-dioxygenase subunit beta
AHECGBEH_00165	gene	720	pcaH			
AHECGBEH_00166	CDS	606	pcaG			protocatechuate 3,4-dioxygenase subunit alpha
AHECGBEH_00166	gene	606	pcaG			
AHECGBEH_00167	CDS	840	pcaR			transcriptional regulator PcaR
AHECGBEH_00167	gene	840	pcaR			
AHECGBEH_00168	CDS	1104				resistance-nodulation-cell division (RND) efflux membrane fusion protein
AHECGBEH_00168	gene	1104				
AHECGBEH_00169	CDS	1071				resistance-nodulation-cell division (RND) efflux membrane fusion protein
AHECGBEH_00169	gene	1071				
AHECGBEH_00170	CDS	3048				resistance-nodulation-cell division (RND) efflux transporter
AHECGBEH_00170	gene	3048				
AHECGBEH_00171	CDS	939				transcriptional regulator
AHECGBEH_00171	gene	939				
AHECGBEH_00172	CDS	186				hypothetical protein
AHECGBEH_00172	gene	186				
AHECGBEH_00173	CDS	1335	opdC			histidine porin OpdC
AHECGBEH_00173	gene	1335	opdC			
AHECGBEH_00174	CDS	798				transcriptional regulator
AHECGBEH_00174	gene	798				
AHECGBEH_00175	CDS	1617				gamma-glutamyltranspeptidase
AHECGBEH_00175	gene	1617				
AHECGBEH_00176	CDS	837				hypothetical protein
AHECGBEH_00176	gene	837				
AHECGBEH_00177	CDS	1407				transporter
AHECGBEH_00177	gene	1407				
AHECGBEH_00178	CDS	666				transcriptional regulator
AHECGBEH_00178	gene	666				
AHECGBEH_00179	CDS	591	yigZ		COG1739	IMPACT family member YigZ
AHECGBEH_00179	gene	591	yigZ			
AHECGBEH_00180	CDS	828	wspR_1			two-component response regulator
AHECGBEH_00180	gene	828	wspR_1			
AHECGBEH_00181	CDS	381				putative protein
AHECGBEH_00181	gene	381				
AHECGBEH_00182	CDS	543				hypothetical protein
AHECGBEH_00182	gene	543				
AHECGBEH_00183	CDS	1992				hypothetical protein
AHECGBEH_00183	gene	1992				
AHECGBEH_00184	CDS	1050		3.1.1.61		chemotaxis response regulator protein-glutamate methylesterase
AHECGBEH_00184	gene	1050				
AHECGBEH_00185	CDS	603	cheD	3.5.1.44		Chemoreceptor glutamine deamidase CheD
AHECGBEH_00185	gene	603	cheD			
AHECGBEH_00186	CDS	843				chemotaxis protein methyltransferase
AHECGBEH_00186	gene	843				
AHECGBEH_00187	CDS	2040	aer2			aerotaxis transducer Aer2
AHECGBEH_00187	gene	2040	aer2			
AHECGBEH_00188	CDS	486				purine-binding chemotaxis protein
AHECGBEH_00188	gene	486				
AHECGBEH_00189	CDS	1920				two-component sensor
AHECGBEH_00189	gene	1920				
AHECGBEH_00190	CDS	366				two-component response regulator
AHECGBEH_00190	gene	366				
AHECGBEH_00191	CDS	1173	cttP			trichloroethylene chemotactic transducer CttP
AHECGBEH_00191	gene	1173	cttP			
AHECGBEH_00192	CDS	933				transcriptional regulator
AHECGBEH_00192	gene	933				
AHECGBEH_00193	CDS	753		1.1.1.100		3-ketoacyl-ACP reductase
AHECGBEH_00193	gene	753				
AHECGBEH_00194	CDS	1611	atsA			arylsulfatase
AHECGBEH_00194	gene	1611	atsA			
AHECGBEH_00195	CDS	840				ABC transporter ATP-binding protein
AHECGBEH_00195	gene	840				
AHECGBEH_00196	CDS	1617				ABC transporter permease
AHECGBEH_00196	gene	1617				
AHECGBEH_00197	CDS	1062				ABC transporter
AHECGBEH_00197	gene	1062				
AHECGBEH_00198	CDS	816				hypothetical protein
AHECGBEH_00198	gene	816				
AHECGBEH_00199	CDS	882				hypothetical protein
AHECGBEH_00199	gene	882				
AHECGBEH_00200	CDS	1359				porin
AHECGBEH_00200	gene	1359				
AHECGBEH_00201	CDS	726				acid phosphatase
AHECGBEH_00201	gene	726				
AHECGBEH_00202	CDS	918				transcriptional regulator
AHECGBEH_00202	gene	918				
AHECGBEH_00203	CDS	2373				TonB-dependent receptor
AHECGBEH_00203	gene	2373				
AHECGBEH_00204	CDS	903	tauD_1	1.14.11.17		taurine dioxygenase
AHECGBEH_00204	gene	903	tauD_1			
AHECGBEH_00205	CDS	900	tauD_2	1.14.11.17		taurine dioxygenase
AHECGBEH_00205	gene	900	tauD_2			
AHECGBEH_00206	CDS	1119	pntAA			NAD(P) transhydrogenase subunit alpha
AHECGBEH_00206	gene	1119	pntAA			
AHECGBEH_00207	CDS	309	pntAB			NAD(P) transhydrogenase subunit alpha
AHECGBEH_00207	gene	309	pntAB			
AHECGBEH_00208	CDS	1437	pntB			pyridine nucleotide transhydrogenase subunit beta
AHECGBEH_00208	gene	1437	pntB			
AHECGBEH_00209	CDS	813	tonB2			transporter TonB
AHECGBEH_00209	gene	813	tonB2			
AHECGBEH_00210	CDS	720	exbB1			transporter ExbB
AHECGBEH_00210	gene	720	exbB1			
AHECGBEH_00211	CDS	402	exbD1			biopolymer transport protein ExbD
AHECGBEH_00211	gene	402	exbD1			
AHECGBEH_00212	CDS	213				hypothetical protein
AHECGBEH_00212	gene	213				
AHECGBEH_00213	CDS	582				hypothetical protein
AHECGBEH_00213	gene	582				
AHECGBEH_00214	CDS	1665	mdcA			malonate decarboxylase subunit alpha
AHECGBEH_00214	gene	1665	mdcA			
AHECGBEH_00215	CDS	882		2.4.2.52		2-(5''-triphosphoribosyl)-3'-dephosphocoenzyme-A synthase
AHECGBEH_00215	gene	882				
AHECGBEH_00216	CDS	300	mdcC			malonate decarboxylase acyl carrier protein
AHECGBEH_00216	gene	300	mdcC			
AHECGBEH_00217	CDS	864	mdcD			malonate decarboxylase subunit beta
AHECGBEH_00217	gene	864	mdcD			
AHECGBEH_00218	CDS	807	mdcE			malonate decarboxylase subunit gamma
AHECGBEH_00218	gene	807	mdcE			
AHECGBEH_00219	CDS	693				phosphoribosyl-dephospho-CoA transferase
AHECGBEH_00219	gene	693				
AHECGBEH_00220	CDS	933				acyl transferase
AHECGBEH_00220	gene	933				
AHECGBEH_00221	CDS	405				malonate transporter MadL
AHECGBEH_00221	gene	405				
AHECGBEH_00222	CDS	765				malonate transporter MadM
AHECGBEH_00222	gene	765				
AHECGBEH_00223	CDS	930				transcriptional regulator
AHECGBEH_00223	gene	930				
AHECGBEH_00224	CDS	921				transcriptional regulator
AHECGBEH_00224	gene	921				
AHECGBEH_00225	CDS	1491				aldehyde dehydrogenase
AHECGBEH_00225	gene	1491				
AHECGBEH_00226	CDS	1434				amino acid APC family transporter
AHECGBEH_00226	gene	1434				
AHECGBEH_00227	CDS	1383				aminotransferase
AHECGBEH_00227	gene	1383				
AHECGBEH_00228	CDS	1059				ABC transporter
AHECGBEH_00228	gene	1059				
AHECGBEH_00229	CDS	882				dihydrodipicolinate synthetase
AHECGBEH_00229	gene	882				
AHECGBEH_00230	CDS	783				class II aldolase/adducin domain-containing protein
AHECGBEH_00230	gene	783				
AHECGBEH_00231	CDS	540				transcriptional regulator
AHECGBEH_00231	gene	540				
AHECGBEH_00232	CDS	852				CoA transferase subunit A
AHECGBEH_00232	gene	852				
AHECGBEH_00233	CDS	783				CoA transferase subunit B
AHECGBEH_00233	gene	783				
AHECGBEH_00234	CDS	1206	pcaF			beta-ketoadipyl CoA thiolase
AHECGBEH_00234	gene	1206	pcaF			
AHECGBEH_00235	CDS	1299	pcaT			dicarboxylic acid transporter PcaT
AHECGBEH_00235	gene	1299	pcaT			
AHECGBEH_00236	CDS	1380	pcaB	5.5.1.2		3-carboxy-cis,cis-muconate cycloisomerase
AHECGBEH_00236	gene	1380	pcaB			
AHECGBEH_00237	CDS	792	pcaD			3-oxoadipate enol-lactonase
AHECGBEH_00237	gene	792	pcaD			
AHECGBEH_00238	CDS	402	pcaC_1			4-carboxymuconolactone decarboxylase
AHECGBEH_00238	gene	402	pcaC_1			
AHECGBEH_00239	CDS	942				transcriptional regulator
AHECGBEH_00239	gene	942				
AHECGBEH_00240	CDS	834				hypothetical protein
AHECGBEH_00240	gene	834				
AHECGBEH_00241	CDS	1347	pcaK			4-hydroxybenzoate transporter PcaK
AHECGBEH_00241	gene	1347	pcaK			
AHECGBEH_00242	CDS	780				transcriptional regulator
AHECGBEH_00242	gene	780				
AHECGBEH_00243	CDS	1044				oxidoreductase
AHECGBEH_00243	gene	1044				
AHECGBEH_00244	CDS	816				hypothetical protein
AHECGBEH_00244	gene	816				
AHECGBEH_00245	CDS	879				hypothetical protein
AHECGBEH_00245	gene	879				
AHECGBEH_00246	CDS	1251				porin
AHECGBEH_00246	gene	1251				
AHECGBEH_00247	CDS	1323				major facilitator superfamily transporter
AHECGBEH_00247	gene	1323				
AHECGBEH_00248	CDS	1905				hypothetical protein
AHECGBEH_00248	gene	1905				
AHECGBEH_00249	CDS	669				transcriptional regulator
AHECGBEH_00249	gene	669				
AHECGBEH_00250	CDS	855		1.1.1.25		shikimate 5-dehydrogenase
AHECGBEH_00250	gene	855				
AHECGBEH_00251	CDS	447	aroQ2	4.2.1.10		3-dehydroquinate dehydratase
AHECGBEH_00251	gene	447	aroQ2			
AHECGBEH_00252	CDS	1506				major facilitator superfamily transporter
AHECGBEH_00252	gene	1506				
AHECGBEH_00253	CDS	1185	pobA	1.14.13.2		4-hydroxybenzoate 3-monooxygenase
AHECGBEH_00253	gene	1185	pobA			
AHECGBEH_00254	CDS	867				transcriptional regulator
AHECGBEH_00254	gene	867				
AHECGBEH_00255	CDS	447				acetyltransferase
AHECGBEH_00255	gene	447				
AHECGBEH_00256	CDS	435	guaB_1	1.1.1.205		Inosine-5'-monophosphate dehydrogenase
AHECGBEH_00256	gene	435	guaB_1			
AHECGBEH_00257	CDS	642				hypothetical protein
AHECGBEH_00257	gene	642				
AHECGBEH_00258	CDS	255				hypothetical protein
AHECGBEH_00258	gene	255				
AHECGBEH_00259	CDS	465				transcriptional regulator
AHECGBEH_00259	gene	465				
AHECGBEH_00260	CDS	1491				3-octaprenyl-4-hydroxybenzoate carboxy-lyase
AHECGBEH_00260	gene	1491				
AHECGBEH_00261	CDS	702				hypothetical protein
AHECGBEH_00261	gene	702				
AHECGBEH_00262	CDS	933				hypothetical protein
AHECGBEH_00262	gene	933				
AHECGBEH_00263	CDS	792				IS3 family transposase ISPa57
AHECGBEH_00263	gene	792				
AHECGBEH_00264	CDS	186				hypothetical protein
AHECGBEH_00264	gene	186				
AHECGBEH_00265	CDS	1443				hypothetical protein
AHECGBEH_00265	gene	1443				
AHECGBEH_00266	CDS	2151				hypothetical protein
AHECGBEH_00266	gene	2151				
AHECGBEH_00267	CDS	498				hypothetical protein
AHECGBEH_00267	gene	498				
AHECGBEH_00268	CDS	3060				hypothetical protein
AHECGBEH_00268	gene	3060				
AHECGBEH_00269	CDS	519	hcpC_1			secreted protein Hcp
AHECGBEH_00269	gene	519	hcpC_1			
AHECGBEH_00270	CDS	1509				hypothetical protein
AHECGBEH_00270	gene	1509				
AHECGBEH_00271	CDS	804				IS21 family transposase ISPst3
AHECGBEH_00271	gene	804				
AHECGBEH_00272	CDS	417				hypothetical protein
AHECGBEH_00272	gene	417				
AHECGBEH_00273	CDS	1737				ABC transporter ATP-binding protein
AHECGBEH_00273	gene	1737				
AHECGBEH_00274	CDS	948	fmdA	3.5.1.49		Formamidase
AHECGBEH_00274	gene	948	fmdA			
AHECGBEH_00275	CDS	1608				ABC transporter
AHECGBEH_00275	gene	1608				
AHECGBEH_00276	CDS	927				ABC transporter permease
AHECGBEH_00276	gene	927				
AHECGBEH_00277	CDS	849				ABC transporter permease
AHECGBEH_00277	gene	849				
AHECGBEH_00278	CDS	603				hypothetical protein
AHECGBEH_00278	gene	603				
AHECGBEH_00279	CDS	1140	amiC_1			aliphatic amidase expression-regulating protein
AHECGBEH_00279	gene	1140	amiC_1			
